date,tv,digital_video,search,social,display,audio,print_mail,sales,consumer_sentiment,gas_price,store_count,markdown,hol_blackfriday,hol_christmas,hol_thanksgiving,hol_july4,hol_primeday
2015-09-06,297784.55,12318.68,319188.04,32107.14,235416.66,237257.44,2280505.33,78474301.75,87.20000000000002,2.532,699.2857142857142,0.698763147142857,0,0,0,0,0
2015-09-13,252803.74,16795.98,259679.17,44062.99,240449.22,113577.45999999999,1122936.93,112460364.61,87.20000000000002,2.471,699.0,0.6680493812857142,0,0,0,0,0
2015-09-20,169441.18,25326.78,490671.65,24097.95,254665.18,217087.52,2139490.02,107150458.33,87.20000000000002,2.4250000000000003,699.0,0.6746049299999999,0,0,0,0,0
2015-09-27,115539.39,10200.25,436150.92,35081.44,224793.47,121073.34999999999,1885432.92,123170786.72,87.20000000000002,2.418,699.0,0.7528138321428572,0,0,0,0,0
2015-10-04,223899.32,35169.76,354711.69,58472.89,140659.93,186083.67,867289.09,76517878.52,90.0,2.415,699.0,0.750654986,0,0,0,0,0
2015-10-11,196895.56,32244.5,650957.46,62860.31,150855.55,113339.92,540766.5,75542501.16,90.0,2.432,699.0,0.723984617857143,0,0,0,0,0
2015-10-18,178526.16,17896.32,397281.2,53460.31,194449.76,85741.67,1340484.6099999999,78365992.28,90.0,2.374,699.0,0.7281399819999999,0,0,0,0,0
2015-10-25,5742.31,1788.4,784813.6,51060.31,90629.35,137641.86,953721.18,61719457.56,90.0,2.326,699.0,0.7470272942857143,0,0,0,0,0
2015-11-01,65769.09,11742.29,886546.61,70799.44,212882.85,161916.1,1247900.0699999998,67286939.96,91.29999999999998,2.322,700.0,0.7514567081428569,0,0,0,0,0
2015-11-08,150792.84,12599.57,1100921.9,133577.25,177767.77,129836.84,1373806.21,132782210.09,91.29999999999998,2.3350000000000004,700.0,0.7430040691428571,0,0,0,0,0
2015-11-15,183583.97,15560.47,811097.16,156100.75,163817.12,260803.93,1569929.96,95659079.48,91.29999999999998,2.281,700.0,0.8197631671428572,0,0,0,0,0
2015-11-22,593434.8,51543.89,1372265.47,413630.65,426266.91,149175.83000000002,1964489.92,259620027.42,91.29999999999998,2.198,700.0,0.8368112155714287,1,0,1,0,0
